"Id","Name","Aka","Type","Clan","Discipline","Pool Cost","Blood Cost","Conviction Cost","Burn Option","Card Text","Flavor Text","Set","Requirement","Banned","Artist","Capacity","Draft"
"101354","Park Hunting Ground","","Master","Ravnos","","2","","","","Master: unique location. Hunting ground.
During your unlock phase, you may move 1 blood from the blood bank to a ready vampire you control. A vampire can gain blood from only one Hunting Ground card each turn.","","DS:C2, FN:PR, LotN:PR","","","Pete Venters; Sam Araya","",""
"101355","Parthenon, The","","Master","","","2","","","","Master: unique location.
Lock during your master phase to get an additional master phase action.","","AH:V3, FN:PG, LoB:PA, Third:U","","","Rob Alexander","",""
"101356","Passion","","Action","","Dementation","","","","","[dem] (D) Lock a minion controlled by your prey.
[DEM] As above, with +1 stealth.","If we resist our passions, it is due more to their weakness than to our strength.
François de la Rouchefoucauld","Sabbat:C","","","Thea Maia","",""
"101357","Patagia: Flaps Allowing Limited Flight","","Action","Nosferatu","","","1","","","+1 stealth action.
Put this card on the acting Nosferatu. This vampire gets an optional maneuver each combat. Once each combat, this vampire may burn 1 blood to gain flight [FLIGHT] for the remainder of the round. A vampire may have only 1 Patagia card.","Demon or bird! (said the boy's soul)
Walt Whitman, ""Out of the Cradle Endlessly Rocking""","Jyhad:R, VTES:R, CE:R, HttB:PSam","","","Anson Maddocks; Andrew Trabbold","",""
"101358","Path of Blood, The","","Master","Assamite","","1","","","","Unique.
Put this card in play. Cards requiring Quietus [qui] cost Assamites 1 fewer blood. Any minion can burn this card as a (D) action that inflicts 1 unpreventable environmental damage on acting vampires.","","AH:C2, FN:PA, LotN:PA2, POD:DTC","","","Drew Tucker; Jeff Holt","",""
"101359","Path of Bone, The","","Master","Giovanni","","1","","","","Unique.
Put this card in play. Cards requiring Necromancy [nec] cost Giovanni 1 fewer blood. Any minion can burn this card as a (D) action that inflicts 1 unpreventable environmental damage on acting vampires.","","FN:R2, LotN:PG2, POD:DTC","","","Michael Gaydos","",""
"101360","Path of Death and the Soul","","Master","","","","","","","Unique master.
Put this card in play. When a minion controlled by another Methuselah is burned, you may lock this card to search your library (shuffle afterward), ash heap or hand for a Master: Discipline card. Move 1 blood from the blood bank and that card to a ready vampire you control.","","BH:R","","","David Day","",""
"101361","Path of Evil Revelations","","Master","","","","","","","Unique master.
Put this card in play. During your master phase, you may burn 1 pool to unlock all infernal minions you control. Any minion may burn this card as a (D) action; if that minion is a vampire, he or she takes one damage (damage not preventable) when this card is burned.","The devil can cite Scripture for his purpose.
William Shakespeare, ""The Merchant of Venice"", act I, scene 3","BH:R","","","Steve Prescott","",""
"101362","Path of Harmony, The","","Master","Ahrimane","","1","","","","Unique.
Put this card in play. Cards requiring Spiritus [spi] cost Ahrimanes 1 fewer blood. Any minion can burn this card as a (D) action that inflicts 1 unpreventable environmental damage on acting vampires.","","HttB:R/B1","","","Paul Tobin","",""
"101363","Path of Lilith, The","","Master","","","","","","","Unique master.
Put this card in play. When a non-Camarilla vampire you control sends an opposing vampire to torpor in combat, you may lock this card to put a torture counter on the opposing vampire. During your unlock phase, each Methuselah who controls any vampires with torture counters burns 1 pool. Any minion may burn this card as a (D) action. Burn all torture counters when this card leaves play.","","Gehenna:R","","","Shane Coppage","",""
"101364","Path of Metamorphosis, The","","Master","Tzimisce","","1","","","","Unique master.
Put this card in play. Cards that require Vicissitude [vic] cost Tzimisce 1 less blood. Any minion may burn this card as a (D) action; if that minion is a vampire, he or she takes 1 unpreventable damage when this card is burned.","","SW:U, Third:U","","","Drew Tucker","",""
"101365","Path of Night, The","","Master","Lasombra","","1","","","","Unique.
Put this card in play. Cards requiring Obtenebration [obt] cost Lasombra 1 fewer blood. Any minion can burn this card as a (D) action that inflicts 1 unpreventable environmental damage on acting vampires.","","SW:U, Third:U, POD:DTC","","","Richard Thomas","",""
"101366","Path of Paradox, The","","Master","Ravnos","","1","","","","Unique master.
Put this card in play. Cards that require Chimerstry [chi] cost Ravnos 1 less blood. Any minion may burn this card as a (D) action; if that minion is a vampire, he or she takes 1 unpreventable damage when this card is burned.","","FN:R2, LotN:PR2","","","Brian LeBlanc","",""
"101367","Path of Retribution, The","","Master","Salubri antitribu","","1","","","","Unique master.
Put this card in play. Cards that require Valeren [val] cost Salubri antitribu 1 less blood. Any minion may burn this card as a (D) action; if that minion is a vampire, he or she takes 1 unpreventable damage when this card is burned.","","LoB:R, HttB:PSal","","","Ken Meyer, Jr.","",""
"101368","Path of Service, The","","Master","Gargoyle","","1","","","","Unique.
Put this card in play. Cards requiring Visceratika [vis] cost slave Gargoyles 1 fewer blood. Any minion can burn this card as a (D) action that inflicts 1 unpreventable environmental damage on acting vampires.","","HttB:R/A1","","","Avery Butterworth","",""
"101369","Path of Tears, The","","Master","Salubri","","1","","","","Master: out-of-turn. Path.
Put this card on a Salubri when you move that Salubri from your uncontrolled region to your ready region during your influence phase. If you burned 3 or more pool for the scarce penalty for this vampire, you gain 3 pool. Cards that require Obeah [obe] cost this Salubri 1 less blood. Any minion may burn this card as a (D) action. A vampire can have only one path.","","LoB:R","","","Peter Bergting","",""
"101370","Path of the Feral Heart, The","","Master","Gangrel antitribu","","1","","","","Unique master.
Put this card in play. Cards that require Protean [pro] cost Gangrel antitribu 1 less blood. Any minion may burn this card as a (D) action; if that minion is a vampire, he or she takes 1 unpreventable damage when this card is burned.","","SW:U, KMW:PG, Third:U","","","William O'Connor","",""
"101371","Path of the Scorched Heart, The","","Action","True Brujah","","","","","","+1 stealth action. Path.
Put this card on the acting True Brujah and unlock him or her. Frenzy cards cannot be played on this True Brujah. While this True Brujah is acting, minions cannot play reaction cards that require Presence [pre]. Minions opposing this True Brujah in combat cannot play cards that require Presence. A vampire can have only one path.","","LoB:R","","","Durwin Talon","",""
"101372","Path of the Void","","Master","","","1","","","","Unique master. Path.
Put this card on a vampire you control. This vampire gets +1 stealth, -1 bleed, and can inflict 1 damage on any minion as a (D) action. During this vampire's unlock phase, his or her controller must discard a master card or lock this vampire. Burn this card if this vampire commits diablerie. A vampire can have only one path.","","Promo-20080203","","","Brian LeBlanc","",""
"101373","Path of Typhon, The","","Master","Follower of Set","","1","","","","Unique.
Put this card in play. Cards requiring Serpentis [ser] cost Followers of Set 1 fewer blood. Any minion can burn this card as a (D) action that inflicts 1 unpreventable environmental damage on acting vampires.","","AH:C2, FN:PS, POD:DTC","","","Harold Arthur McNeill; Ginés Quiñonero","",""
"101374","Patrol","","Reaction","","Flight","","","","","+1 intercept.","He's a dutiful servant around the chantry, but it's the time he's able to spend in solitude flying above the chantry on patrol that he seems to earnestly enjoy.
Elisabetta Romano, Tremere","BL:C1, LoB:C, HttB:PGar4","","","Steve Prescott","",""
"101375","Patronage","","Action","Toreador antitribu","","1","","","","+1 stealth action.
Unlock a younger Toreador antitribu and this acting vampire. You may play only one Patronage per turn.","","SW:U, BH:PTo, Third:U","","","William O'Connor","",""
"101376","Patshiv","","Action","Ravnos","","","","","","+1 stealth action.
Each ready unlocked Ravnos gains 1 blood from the blood bank.","","FN:C2/PR2","","","Dennis Calero","",""
"101377","Patsy","","Political Action","","","","","","","Requires a baron. Only usable if you control the Edge.
Choose a titled non-{A}narch vampire. Successful referendum means that you burn the edge to remove that vampire's title and burn 2 pool from his or her controller.","","TR:R","baron,edge","","Eric Deschamps","",""
"101378","Patterns in the Chaos","","Action Modifier","","Dementation","","","","","[dem] Only usable when a bleed is successful. Look at the top card in the library of the Methuselah being bled.
[DEM] Only usable when a bleed is successful. Look at the cards in the hand of the Methuselah being bled.","Unlike you, I am Awake, I see the threads that spin all around you.
Lilith","SW:R, Third:R","","","Leif Jones","",""
"101379","Peace of Khetamon, The","","Political Action","","","","","","","Choose a vampire in torpor. Successful referendum means that vampire is moved to the uncontrolled region (facedown). The vampire's blood counters, master cards and minion cards stay with that vampire, with any counters they have on them (they are out of play as long as the vampire remains uncontrolled).","","AH:C2, Tenth:B","","","Greg Simanson","",""
"101380","Peace Treaty","","Political Action","","","","","","","Successful referendum means all weapons are burned. A Methuselah may keep any of his or her minions' weapons by repaying their pool cost to equip.","Is there peace between us, or is this just a pause to reload?
Brujah, Los Angeles 2002 Winter Storyline","Jyhad:C, VTES:C, Sabbat:C, SW:PT/PV, CE:PV, Anarchs:PAB, LoB:PG, Third:C","","","Amy Weber; Michael Astrachan","",""
"101381","Peacemaker","","Reaction","","Obeah/Presence","","","","","Only usable by a vampire who successfully blocks a (D) action directed at you (play before combat).
[pre] Cancel combat. The action continues as if unblocked. For the remainder of this action, all minions get -1 bleed and -1 strength.
[obe] As [pre] above, and unlock this blocking vampire at the end of the action.
[OBE] As [obe] above, but all minions get -2 bleed and -2 strength and cannot use weapons.","","LoB:C","","","Nicole Cardiff","",""
"101382","Penitent Resilience","","Action Modifier/Combat","","Fortitude & Obeah","","","","","[for] [COMBAT] This round, this vampire treats aggravated damage as normal damage and Flash Grenades have no effect on this vampire.
[for][obe] [COMBAT] As [for] above, but until the end of combat.
[FOR][OBE] [ACTION MODIFIER] Only usable as the action is announced. Choose any vampire. The chosen vampire cannot block this action.","","HttB:C/B2","","","Sandra Chang-Adair","",""
